54,Aero Comondu,(unknown),(unknown),ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,(unknown),8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,(unknown),(unknown),ACS,(unknown),Liberia,N
57,Air Aurora,(unknown),(unknown),AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,(unknown),(unknown),ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,(unknown),(unknown),ACV,(unknown),United Kingdom,N
60,Aero Asia International,(unknown),E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,(unknown),(unknown),ACX,PARAIR,Canada,N
62,Air Togo,(unknown),YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,(unknown),(unknown),RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,(unknown),(unknown),ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,(unknown),(unknown),ADA,AUSCAL,Australia,N
66,Advance Leasing Company,(unknown),4G,(unknown),(unknown),United States,N
67,Aztec Worldwide Airlines,(unknown),7A,(unknown),(unknown),United States,N
68,Air Tindi,(unknown),8T,(unknown),(unknown),Canadian Territories,Y
69,Antonov Airlines,(unknown),(unknown),ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,(unknown),(unknown),ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,(unknown),(unknown),ADD,(unknown),Japan,N
72,Ada Air,(unknown),ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,(unknown),(unknown),ADG,AEREA TRAINING,Spain,N
74,Audeli Air,(unknown),(unknown),ADI,AUDELI,Spain,N
75,Abicar,(unknown),(unknown),ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,(unknown),Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,(unknown),(unknown),ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,(unknown),(unknown),ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,(unknown),(unknown),ADN,AERODIENST,Germany,N
80,Aerodiplomatic,(unknown),(unknown),ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,(unknown),(unknown),ADY,AERODYNE,United States,N
82,Avion Taxi,(unknown),(unknown),ADQ,AIR DATA,Canada,N
83,Adria Airways,(unknown),JP,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,(unknown),(unknown),ADS,SONORAV,Mexico,N
85,Air Dorval,(unknown),(unknown),ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,(unknown),(unknown),ADU,AIRDEAL,Finland,N
87,Advance Air Charters,(unknown),(unknown),ADV,ADVANCE,Canada,N
88,Air Andaman,(unknown),(unknown),ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,(unknown),(unknown),ADX,ANDAX,United States,N
90,Air Europa,(unknown),UX,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,(unknown),(unknown),ASW,AIRSOUTHWEST,Canada,N
92,Air Special,(unknown),(unknown),ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,(unknown),EM,AEB,AEROBEN,Benin,Y
94,Aerocesar,(unknown),(unknown),AEC,Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,(unknown),(unknown),AED,(unknown),Russia,N
96,Aegean Airlines,(unknown),A3,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,(unknown),(unknown),AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,(unknown),(unknown),AEI,INTERAM,Colombia,N
99,Air Express,(unknown),(unknown),AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,(unknown),(unknown),AEK,AEROCON,Bolivia,N
101,Aero Madrid,(unknown),(unknown),AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,(unknown),(unknown),AEN,(unknown),Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,(unknown),(unknown),AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,(unknown),(unknown),AEP,AEROTEC,Spain,N
105,Air Atlantique,(unknown),KI,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,(unknown),PE,AEL,AIR EUROPE,Italy,Y
107,Air Alma,(unknown),(unknown),AAJ,AIR ALMA,Canada,N
108,Air Express,(unknown),(unknown),AEQ,LUNA,Sweden,N
109,Alaska Central Express,(unknown),KO,AER,ACE AIR,United States,Y
110,ACES Colombia,(unknown),(unknown),AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,(unknown),(unknown),AET,AEROTHAI,Thailand,N
112,Astraeus,(unknown),5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,(unknown),(unknown),AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,(unknown),VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,(unknown),(unknown),AEX,AVCO,United States,N
116,Air Italy,(unknown),I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,(unknown),(unknown),AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,(unknown),(unknown),AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,(unknown),WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,(unknown),QQ,UTY,UNITY,Australia,Y
121,Air Universal,(unknown),(unknown),UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,(unknown),(unknown),UVT,AUVIA,Indonesia,N
123,African West Air,(unknown),(unknown),AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,(unknown),(unknown),AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,(unknown),FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,(unknown),(unknown),AFH,FECTO,Canada,N
127,Africaone,(unknown),(unknown),AFI,AFRICAWORLD,Uganda,N
128,Alliance,(unknown),(unknown),AFJ,JAMBO,Uganda,N
129,Africa Air Links,(unknown),(unknown),AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,(unknown),SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,(unknown),(unknown),AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,(unknown),JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,(unknown),(unknown),BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,(unknown),(unknown),BRL,BRASD'OR,Canada,N
135,Air 500,(unknown),(unknown),BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,(unknown),(unknown),AFQ,ALBA,Italy,N
137,Air France,(unknown),AF,AFR,AIRFRANS,France,Y
138,Air Partner,(unknown),(unknown),ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,(unknown),SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,(unknown),(unknown),ACM,WEST CAL,Canada,N
141,Air Guam,(unknown),(unknown),AGM,AIR GUAM,United States,N
142,Air Gabon,(unknown),GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,(unknown),(unknown),AFS,(unknown),United Kingdom,N
144,Air Afrique Vacancies,(unknown),(unknown),AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,(unknown),(unknown),MVM,PEGASUS,United States,N
146,Air Salone,(unknown),2O,(unknown),(unknown),Sierra Leone,Y
147,Air-Angol,(unknown),(unknown),NGO,AIR ANGOL,Angola,N
148,Air Nigeria,(unknown),(unknown),NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,(unknown),2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,(unknown),(unknown),SND,ARSAM,Uzbekistan,N
151,Air Senegal International,(unknown),V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,(unknown),(unknown),SNY,AIR SANDY,Canada,N
153,Air Namibia,(unknown),SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,(unknown),(unknown),NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,(unknown),(unknown),NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,(unknown),(unknown),SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,(unknown),(unknown),AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,(unknown),(unknown),AFX,"",United Kingdom,N
159,Africa Chartered Services,(unknown),(unknown),AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,(unknown),(unknown),AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,(unknown),(unknown),AGA,(unknown),Venezuela,N
162,Air Service Gabon,(unknown),G8,AGB,(unknown),Gabon,N
163,Arab Agricultural Aviation Company,(unknown),(unknown),AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,(unknown),(unknown),AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,(unknown),5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,(unknown),(unknown),AGG,ALGOMA,Canada,N
167,Altagna,(unknown),(unknown),AGH,ALTAGNA,France,N
168,Angola Air Charter,(unknown),(unknown),AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,(unknown),(unknown),AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,(unknown),(unknown),AGP,AIR TARA,Ireland,N
171,Aerogala,(unknown),(unknown),AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,(unknown),1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,(unknown),(unknown),AGU,SARMA,Russia,N
174,Air Glaciers,(unknown),7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,(unknown),(unknown),AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,(unknown),(unknown),AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,(unknown),(unknown),BLR,BLUE RIDGE,United States,N
178,Aero Barloz,(unknown),(unknown),BLZ,AEROLOZ,Mexico,N
179,Aeroper,(unknown),PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,(unknown),8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,(unknown),(unknown),BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,(unknown),(unknown),AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,(unknown),(unknown),AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,(unknown),GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,(unknown),(unknown),AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,(unknown),(unknown),AHE,Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,(unknown),(unknown),CJE,BIRD JET,France,N
188,Aspen Helicopters,(unknown),(unknown),AHF,ASPEN,United States,N
189,Aerochago Airlines,(unknown),(unknown),AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,(unknown),(unknown),AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,(unknown),LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,(unknown),(unknown),AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,(unknown),(unknown),AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,(unknown),(unknown),AHS,AIRSAR,Italy,N
195,ABC Air Hungary,(unknown),(unknown),AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,(unknown),HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,(unknown),J2,AHY,AZAL,Azerbaijan,Y
198,Avies,(unknown),U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,(unknown),AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,(unknown),(unknown),AIH,ALPINE CHILE,Chile,N
201,Air Integra,(unknown),(unknown),AII,INTEGRA,Canada,N
202,ABC Aerolineas,(unknown),(unknown),AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,(unknown),(unknown),AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,(unknown),(unknown),AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,(unknown),5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,(unknown),(unknown),AIU,ALIA,Spain,N
207,Aba Air,(unknown),(unknown),ABP,BAIR,Czech Republic,N
208,Airblue,(unknown),ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,(unknown),(unknown),THM,THAI AIRMARK,Thailand,N
210,Airlift International,(unknown),(unknown),AIR,AIRLIFT,United States,Y
211,Airest,(unknown),(unknown),AIT,"",Estonia,N
212,Air Baffin,(unknown),(unknown),BFF,AIR BAFFIN,Canada,N
213,Air Bandama,(unknown),(unknown),BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,(unknown),AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,(unknown),(unknown),ABT,AIR BROUSSE,Canada,N
216,Air Contractors,(unknown),AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,(unknown),(unknown),AIL,AIR ILLINOIS,United States,N
218,Air India Limited,(unknown),AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,(unknown),(unknown),AIG,"",Gabon,N
220,Air Bourbon,(unknown),ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,(unknown),CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,(unknown),(unknown),AIE,AIR INUIT,Canada,N
223,Air Sureste,(unknown),(unknown),AIS,SURESTE,Spain,N
224,Air Srpska,(unknown),RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,(unknown),TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,(unknown),(unknown),AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,(unknown),W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,(unknown),(unknown),AIW,TARTAN,Canada,N
229,Aircruising Australia,(unknown),(unknown),AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,(unknown),(unknown),AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,(unknown),IZ,AIZ,ARKIA,Israel,Y
232,A J Services,(unknown),(unknown),AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,(unknown),(unknown),AJB,AERO JBR,Mexico,N
234,Aero Jet Express,(unknown),(unknown),AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,(unknown),(unknown),AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,(unknown),(unknown),AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,(unknown),(unknown),AJJ,ATLANTIC JET,United States,N
238,Allied Air,(unknown),(unknown),AJK,BAMBI,Nigeria,N
239,Air Jamaica,(unknown),JM,AJM,JAMAICA,Jamaica,Y
240,Air One,(unknown),AP,ADH,HERON,Italy,Y
241,Air Sahara,(unknown),S2,RSH,SAHARA,India,Y
242,Air Malta,(unknown),KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,(unknown),(unknown),AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,(unknown),(unknown),AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,(unknown),(unknown),AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,(unknown),M6,AJT,AMERIJET,United States,N
247,Air Jetsul,(unknown),(unknown),AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,(unknown),(unknown),AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,(unknown),(unknown),AJW,ALPHAJET,United States,N
250,Air Japan,(unknown),NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,(unknown),(unknown),AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,(unknown),(unknown),AKA,(unknown),Republic of Korea,Y
253,Air Livonia,(unknown),(unknown),LIV,LIVONIA,Estonia,N
254,Air BC,(unknown),(unknown),ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,(unknown),(unknown),ABN,"",Senegal,N
256,Air Jamahiriya Company,(unknown),(unknown),LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,(unknown),(unknown),AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,(unknown),(unknown),AKC,ARCA,Colombia,N
259,Anikay Air Company,(unknown),(unknown),AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,(unknown),(unknown),AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,(unknown),(unknown),MNI,AEROMIL,Mexico,N
262,Aklak Air,(unknown),(unknown),AKK,AKLAK,Canada,N
263,Air Kiribati,(unknown),4A,AKL,(unknown),Kiribati,Y
264,Alkan Air,(unknown),(unknown),AKN,ALKAN AIR,Canada,N
265,Angkor Airways,(unknown),(unknown),AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,(unknown),EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,(unknown),(unknown),AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,(unknown),(unknown),ALB,ALBATROS,Mexico,N
269,Albion Aviation,(unknown),(unknown),ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,(unknown),(unknown),ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),(unknown),(unknown),ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,(unknown),(unknown),BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,(unknown),(unknown),FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,(unknown),(unknown),DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,(unknown),(unknown),CAA,Chandler,United States,N
276,ACM Air Charter,(unknown),(unknown),BVR,BAVARIAN,Germany,N
277,Air Logistics,(unknown),(unknown),ALG,AIRLOG,United States,N
278,Aerovallarta,(unknown),(unknown),ALL,VALLARTA,Mexico,N
279,Air ALM,(unknown),(unknown),ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,(unknown),(unknown),ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,(unknown),HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,(unknown),ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,(unknown),(unknown),TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,(unknown),(unknown),TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,(unknown),(unknown),TMP,TEMPE,United States,N
286,Tatarstan Airlines,(unknown),U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,(unknown),(unknown),ALO,ALLEGHENY,United States,Y
288,Alpliner AG,(unknown),(unknown),ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),(unknown),(unknown),ALQ,ALTAIR,Canada,N
290,Air Luxor STP,(unknown),(unknown),ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,(unknown),(unknown),ALV,ALVEN,Venezuela,N
292,Alas Nacionales,(unknown),(unknown),ALW,S.A.,ALNACIONAL,N
293,Alyeska Air Service,(unknown),(unknown),ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,(unknown),(unknown),ALZ,"",Canada,N
295,Air Sunshine,(unknown),(unknown),RSI,AIR SUNSHINE,United States,Y
296,ATMA,(unknown),(unknown),AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,(unknown),(unknown),AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,(unknown),(unknown),AMF,AMFLIGHT,United States,N
299,Air Libert,(unknown),VD,(unknown),(unknown),France,Y
300,Air Lithuania,(unknown),TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,(unknown),(unknown),AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,(unknown),(unknown),AMH,MANN,United Kingdom,N
303,Air Maldives,(unknown),(unknown),AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,(unknown),(unknown),AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,(unknown),(unknown),AMK,AMER AIR,Austria,N
306,Air Malawi,(unknown),QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,(unknown),(unknown),AMM,AEROM,Moldova,N
308,Air Montenegro,(unknown),(unknown),AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),(unknown),(unknown),AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),(unknown),(unknown),AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,(unknown),(unknown),AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,(unknown),BM,(unknown),(unknown),Italy,Y
313,Air Specialties Corporation,(unknown),(unknown),AMR,AIR AM,United States,N
314,Air Muskoka,(unknown),(unknown),AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,(unknown),(unknown),AMT,AMTRAN,United States,Y
316,Air Macau,(unknown),NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,(unknown),(unknown),AMV,(unknown),Egypt,Y
318,Air Midwest,(unknown),ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,(unknown),HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,(unknown),(unknown),SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,(unknown),AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,(unknown),(unknown),AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,(unknown),(unknown),AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,(unknown),(unknown),ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,(unknown),(unknown),ANC,ANGLO,United Kingdom,N
327,Air Nostrum,(unknown),YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,(unknown),PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,(unknown),G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,(unknown),AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,(unknown),(unknown),BRP,AEROBRA,Russia,N
332,Air Wings,(unknown),(unknown),BSB,ARBAS,Moldova,N
333,Air Baltic,(unknown),BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,(unknown),(unknown),ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,(unknown),(unknown),ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,(unknown),EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,(unknown),(unknown),ANM,Maintenance & Service GmbH,ANTARES,N
338,Airnorth,(unknown),TL,ANO,TOPEND,Australia,Y
339,Aerol,(unknown),(unknown),ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,(unknown),(unknown),ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,(unknown),4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,(unknown),(unknown),ANV,AIR NEVADA,United States,N
343,AOM French Airlines,(unknown),IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,(unknown),(unknown),ANW,S.A. de C.V.,AVINOR,N
345,Air New Zealand,(unknown),NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,(unknown),(unknown),SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,(unknown),(unknown),EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,(unknown),(unknown),AOA,S.A. de C.V.,ALCON,N
349,AVCOM,(unknown),J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,(unknown),(unknown),AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,(unknown),(unknown),AOE,"",Italy,N
352,Atair Pty Ltd.,(unknown),(unknown),AOF,ATAIR,South Africa,N
